domain,category,ok
boat-lifestyle.com,Computers & Consumer Electronics/Home Audio & Video,True
gonoise.com,Consumer Electronics/Mobile & Wireless/Mobile & Wireless Accessories,True
thedermaco.myshopify.com,Beauty & Personal Care/Skin Care,True
acwo.com,Computers & Consumer Electronics/Consumer Electronic Accessories,True
giva.co,Apparel/Jewelry,True
libas.in,Apparel/Clothing,True
clinikally.com,Beauty & Personal Care/Skin Care,True
dotandkey.com,Beauty & Personal Care/Skin Care,True
bombayshavingcompany.com,Beauty & Personal Care/Shaving & Grooming,True
deodap.in,Business & Industrial/Business Management,True
mamaearth.in,Beauty & Personal Care/Skin Care,True
thehouseofrare.com,Apparel/Clothing,True
beminimalist.co,Beauty & Personal Care/Skin Care,True
drsheths.com,Beauty & Personal Care/Skin Care,True
thesleepcompany.in,Home & Garden/Home Furniture,True
headphonezone.in,Computers & Consumer Electronics/Home Audio & Video,True
aqualogica.in,Beauty & Personal Care/Skin Care,True
discoverpilgrim.myshopify.com,Beauty & Personal Care/Skin Care,True
nobero.com,Apparel/Clothing,True
kushals.com,Apparel/Jewelry,True
xyxxcrew.com,Apparel/Clothing,True
littleboxindia.com,Apparel/Clothing,True
traya.health,Beauty & Personal Care/Hair Care,True
neemans.com,Apparel/Footwear,True
palmonas.com,Apparel/Jewelry,True
mcaffeine.com,Beauty & Personal Care/Skin Care,True
peachmode.com,Apparel/Clothing,True
zanducare.myshopify.com,Health/Pharmacy,True
kalkifashion.com,Apparel/Clothing,True
portronics.com,Retailers & General Merchandise/Shopping Portals & Search Engines,True
oswaalbooks.myshopify.com,Jobs & Education/Standardized & Admissions Tests,True
oziva.myshopify.com,Health/Pharmacy,True
mokobara.myshopify.com,Travel & Tourism/Luggage & Travel Accessories,True
innovist.com,Beauty & Personal Care/Skin Care,True
campusshoes.myshopify.com,Apparel/Footwear,True
speedo.com,Sports & Fitness/Sports & Fitness Apparel,True
durexindia.com,Health/Health Conditions & Concerns,True
himalayawellness.in,Health/Pharmacy,True
adilqadri.com,Retailers & General Merchandise/Marketplace,True
plumgoodness.com,Beauty & Personal Care/Skin Care,True
wforwoman.com,Apparel/Clothing,True
milton.in,Business & Industrial/Food Service Industry,True
icruze-digital.com,Computers & Consumer Electronics/Consumer Electronic Accessories,True
supertails.com,Hobbies & Leisure/Pets & Animals,True
salty.co.in,Apparel/Jewelry,True
baccabucci.myshopify.com,Apparel/Footwear,True
aachho.com,Apparel/Clothing,True
reneecosmetics.in,Beauty & Personal Care/Make-Up & Cosmetics,True
thedeconstruct.in,Beauty & Personal Care/Skin Care,True
